Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Object Repository/Page_Amazon Sign-In/input_Email or mobile phone number_email""), ""testingtx2020@gmail.com"")",Chrome 102.0.5005.61,,,2022-06-02 10:37:37,2022-06-02 10:37:38,1.371s,PASSED
"click(findTestObject(""Object Repository/Page_Amazon Sign-In/input_Enter your email or mobile phone numb_fc7402""))",Chrome 102.0.5005.61,,,2022-06-02 10:37:38,2022-06-02 10:37:40,1.654s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Amazon Sign-In/input_Forgot your password_password""), ""PLGTm/4mhzCFv1nCPynrvg=="")",Chrome 102.0.5005.61,,,2022-06-02 10:37:40,2022-06-02 10:37:41,1.465s,PASSED
"click(findTestObject(""Object Repository/Page_Amazon Sign-In/div_Please Enable Cookies to Continue      _8c8bcd""))",Chrome 102.0.5005.61,,,2022-06-02 10:37:41,2022-06-02 10:37:42,0.371s,PASSED
"click(findTestObject(""Object Repository/Page_Amazon Sign-In/div_Sign-In                      testingtx2_9ecf4f""))",Chrome 102.0.5005.61,,,2022-06-02 10:37:42,2022-06-02 10:37:42,0.405s,PASSED
"click(findTestObject(""Object Repository/Page_Amazon Sign-In/input_Enter your password_signInSubmit""))",Chrome 102.0.5005.61,,,2022-06-02 10:37:42,2022-06-02 10:37:43,0.501s,PASSED
"setText(findTestObject(""Object Repository/Page_Amazon.com. Spend less. Smile more/input_All_field-keywords""), ""Alchemist"")",Chrome 102.0.5005.61,,,2022-06-02 10:37:43,2022-06-02 10:38:55,1m - 12.022s,PASSED
"click(findTestObject(""Object Repository/Page_Amazon.com. Spend less. Smile more/input_All_nav-search-submit-button""))",Chrome 102.0.5005.61,,,2022-06-02 10:38:55,2022-06-02 10:39:31,36.392s,PASSED
"click(findTestObject(""Object Repository/Page_Amazon.com  Alchemist/img_Best Seller_s-image""))",Chrome 102.0.5005.61,,,2022-06-02 10:39:31,2022-06-02 10:39:39,7.522s,PASSED
"click(findTestObject(""Object Repository/Page_The Alchemist, 25th Anniversary A Fabl_ebcfbb/input_Shipping cost, delivery date, and ord_223673""))",Chrome 102.0.5005.61,,,2022-06-02 10:39:39,2022-06-02 10:39:44,5.265s,PASSED
"click(findTestObject(""Object Repository/Page_Amazon.com Shopping Cart/span_Orders_nav-cart-icon nav-sprite""))",Chrome 102.0.5005.61,,,2022-06-02 10:39:44,2022-06-02 10:39:50,5.899s,PASSED
"click(findTestObject(""Object Repository/Page_Amazon.com Shopping Cart/i_View fullhistory_hm-icon nav-sprite""))",Chrome 102.0.5005.61,,,2022-06-02 10:39:50,2022-06-02 10:39:51,1.175s,PASSED
"click(findTestObject(""Object Repository/Page_Amazon.com Shopping Cart/a_Sign Out""))",Chrome 102.0.5005.61,,,2022-06-02 10:39:51,2022-06-02 10:39:54,3.099s,PASSED
closeBrowser(),Chrome 102.0.5005.61,,,2022-06-02 10:39:54,2022-06-02 10:39:55,1.085s,PASSED
,,,,,,,
Test Cases/DesktopAndWebApplication/NegativeAmazonScenario,Chrome 102.0.5005.61,,,2022-06-02 10:39:55,2022-06-02 10:40:12,16.375s,PASSED
"openBrowser("""")",Chrome 102.0.5005.61,,,2022-06-02 10:39:56,2022-06-02 10:39:57,1.475s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 102.0.5005.61,,,2022-06-02 10:39:57,2022-06-02 10:40:02,4.960s,PASSED
maximizeWindow(),Chrome 102.0.5005.61,,,2022-06-02 10:40:02,2022-06-02 10:40:02,0.137s,PASSED
"click(findTestObject(""Object Repository/Page_Amazon.com. Spend less. Smile more/span_Hello, Sign in""))",Chrome 102.0.5005.61,,,2022-06-02 10:40:02,2022-06-02 10:40:04,2.058s,PASSED
"setText(findTestObject(""Object Repository/Page_Amazon Sign-In/input_Email or mobile phone number_email""), ""Damco2020@gmail.com"")",Chrome 102.0.5005.61,,,2022-06-02 10:40:04,2022-06-02 10:40:06,1.469s,PASSED
"click(findTestObject(""Object Repository/Page_Amazon Sign-In/div_Sign-In                                _f074ba""))",Chrome 102.0.5005.61,,,2022-06-02 10:40:06,2022-06-02 10:40:07,1.326s,PASSED
"click(findTestObject(""Object Repository/Page_Amazon Sign-In/input_Enter your email or mobile phone numb_fc7402""))",Chrome 102.0.5005.61,,,2022-06-02 10:40:07,2022-06-02 10:40:09,1.941s,PASSED
"click(findTestObject(""Object Repository/Page_Amazon Sign-In/div_There was a problem                    _7720a7""))",Chrome 102.0.5005.61,,,2022-06-02 10:40:09,2022-06-02 10:40:10,1.056s,PASSED
"click(findTestObject(""Object Repository/Page_Amazon Sign-In/li_We cannot find an account with that emai_8890fc""))",Chrome 102.0.5005.61,,,2022-06-02 10:40:10,2022-06-02 10:40:10,0.511s,PASSED
"click(findTestObject(""Object Repository/Page_Amazon Sign-In/div_There was a problem                    _7720a7""))",Chrome 102.0.5005.61,,,2022-06-02 10:40:10,2022-06-02 10:40:11,0.389s,PASSED
closeBrowser(),Chrome 102.0.5005.61,,,2022-06-02 10:40:11,2022-06-02 10:40:12,0.685s,PASSED
