Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Page_Amazon.com. Spend less. Smile more/a_Hello, Sign in  Account  Lists""))",Chrome 102.0.5005.63,,,2022-06-06 16:06:46,2022-06-06 16:06:49,3.741s,PASSED
"setText(findTestObject(""Object Repository/Page_Amazon Sign-In/input_Email or mobile phone number_email""), Username)",Chrome 102.0.5005.63,,,2022-06-06 16:06:49,2022-06-06 16:06:51,1.296s,PASSED
"verifyMatch(Username, Username, false)",Chrome 102.0.5005.63,,,2022-06-06 16:06:51,2022-06-06 16:06:51,0.002s,PASSED
"click(findTestObject(""Object Repository/Page_Amazon Sign-In/input_Enter your email or mobile phone numb_fc7402""))",Chrome 102.0.5005.63,,,2022-06-06 16:06:51,2022-06-06 16:06:52,1.636s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Amazon Sign-In/input_Forgot your password_password""), Password)",Chrome 102.0.5005.63,,,2022-06-06 16:06:52,2022-06-06 16:06:53,1.003s,PASSED
"verifyMatch(Password, Password, false)",Chrome 102.0.5005.63,,,2022-06-06 16:06:53,2022-06-06 16:06:53,0.002s,PASSED
"click(findTestObject(""Object Repository/Page_Amazon Sign-In/div_Please Enable Cookies to Continue      _8c8bcd""))",Chrome 102.0.5005.63,,,2022-06-06 16:06:53,2022-06-06 16:06:54,0.372s,PASSED
"click(findTestObject(""Object Repository/Page_Amazon Sign-In/div_Sign-In                      testingtx2_9ecf4f""))",Chrome 102.0.5005.63,,,2022-06-06 16:06:54,2022-06-06 16:06:54,0.385s,PASSED
"click(findTestObject(""Object Repository/Page_Amazon Sign-In/input_Enter your password_signInSubmit""))",Chrome 102.0.5005.63,,,2022-06-06 16:06:54,2022-06-06 16:06:54,0.399s,PASSED
"setText(findTestObject(""Object Repository/Page_Amazon.com. Spend less. Smile more/input_All_field-keywords""), BookName)",Chrome 102.0.5005.63,,,2022-06-06 16:06:54,2022-06-06 16:07:01,6.905s,PASSED
"verifyMatch(BookName, BookName, false)",Chrome 102.0.5005.63,,,2022-06-06 16:07:01,2022-06-06 16:07:01,0.001s,PASSED
"click(findTestObject(""Object Repository/Page_Amazon.com. Spend less. Smile more/input_All_nav-search-submit-button""))",Chrome 102.0.5005.63,,,2022-06-06 16:07:01,2022-06-06 16:07:35,33.845s,PASSED
"click(findTestObject(""Object Repository/Page_Amazon.com  Alchemist/img_Best Seller_s-image""))",Chrome 102.0.5005.63,,,2022-06-06 16:07:35,2022-06-06 16:08:12,37.203s,PASSED
"click(findTestObject(""Object Repository/Page_The Alchemist, 25th Anniversary A Fabl_ebcfbb/input_Shipping cost, delivery date, and ord_223673""))",Chrome 102.0.5005.63,,,2022-06-06 16:08:12,2022-06-06 16:08:19,6.788s,PASSED
"click(findTestObject(""Object Repository/Page_Amazon.com Shopping Cart/span_Orders_nav-cart-icon nav-sprite""))",Chrome 102.0.5005.63,,,2022-06-06 16:08:19,2022-06-06 16:08:24,4.998s,PASSED
"click(findTestObject(""Object Repository/Page_Amazon.com Shopping Cart/i_View fullhistory_hm-icon nav-sprite""))",Chrome 102.0.5005.63,,,2022-06-06 16:08:24,2022-06-06 16:08:26,1.750s,PASSED
"click(findTestObject(""Object Repository/Page_Amazon.com Shopping Cart/a_Sign Out""))",Chrome 102.0.5005.63,,,2022-06-06 16:08:26,2022-06-06 16:08:59,32.623s,PASSED
closeBrowser(),Chrome 102.0.5005.63,,,2022-06-06 16:08:59,2022-06-06 16:09:00,0.952s,PASSED
,,,,,,,
Test Cases/DesktopAndWebApplication/NegativeAmazonScenario,Chrome 102.0.5005.63,,,2022-06-06 16:09:00,2022-06-06 16:09:17,17.036s,PASSED
"openBrowser("""")",Chrome 102.0.5005.63,,,2022-06-06 16:09:00,2022-06-06 16:09:02,1.609s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 102.0.5005.63,,,2022-06-06 16:09:02,2022-06-06 16:09:07,4.960s,PASSED
maximizeWindow(),Chrome 102.0.5005.63,,,2022-06-06 16:09:07,2022-06-06 16:09:07,0.136s,PASSED
"click(findTestObject(""Object Repository/Page_Amazon.com. Spend less. Smile more/span_Hello, Sign in""))",Chrome 102.0.5005.63,,,2022-06-06 16:09:07,2022-06-06 16:09:10,3.028s,PASSED
"setText(findTestObject(""Object Repository/Page_Amazon Sign-In/input_Email or mobile phone number_email""), Username)",Chrome 102.0.5005.63,,,2022-06-06 16:09:10,2022-06-06 16:09:11,1.510s,PASSED
"verifyMatch(""Damco2020@gmail.com"", ""Damco2020@gmail.com"", false)",Chrome 102.0.5005.63,,,2022-06-06 16:09:11,2022-06-06 16:09:11,0.002s,PASSED
"click(findTestObject(""Object Repository/Page_Amazon Sign-In/div_Sign-In                                _f074ba""))",Chrome 102.0.5005.63,,,2022-06-06 16:09:11,2022-06-06 16:09:12,1.064s,PASSED
"click(findTestObject(""Object Repository/Page_Amazon Sign-In/input_Enter your email or mobile phone numb_fc7402""))",Chrome 102.0.5005.63,,,2022-06-06 16:09:12,2022-06-06 16:09:14,1.714s,PASSED
"click(findTestObject(""Object Repository/Page_Amazon Sign-In/div_There was a problem                    _7720a7""))",Chrome 102.0.5005.63,,,2022-06-06 16:09:14,2022-06-06 16:09:15,1.028s,PASSED
"click(findTestObject(""Object Repository/Page_Amazon Sign-In/li_We cannot find an account with that emai_8890fc""))",Chrome 102.0.5005.63,,,2022-06-06 16:09:15,2022-06-06 16:09:15,0.470s,PASSED
"click(findTestObject(""Object Repository/Page_Amazon Sign-In/div_There was a problem                    _7720a7""))",Chrome 102.0.5005.63,,,2022-06-06 16:09:15,2022-06-06 16:09:16,0.407s,PASSED
closeBrowser(),Chrome 102.0.5005.63,,,2022-06-06 16:09:16,2022-06-06 16:09:17,0.716s,PASSED
,,,,,,,
Test Cases/DesktopAndWebApplication/ApiTest,Chrome 102.0.5005.63,,,2022-06-06 16:09:17,2022-06-06 16:09:19,2.212s,PASSED
"response = sendRequest(findTestObject(""API""))",Chrome 102.0.5005.63,,,2022-06-06 16:09:17,2022-06-06 16:09:18,1.328s,PASSED
"sendRequestAndVerify(findTestObject(""API""))",Chrome 102.0.5005.63,,,2022-06-06 16:09:18,2022-06-06 16:09:19,0.516s,PASSED
"verifyResponseStatusCode(response, 200)",Chrome 102.0.5005.63,,,2022-06-06 16:09:19,2022-06-06 16:09:19,0.015s,PASSED
